scenario,month,inflow,outflow
0,0,15772.410754499138,9403.726535303214
0,1,8550.230790594522,12475.715133331967
0,2,15978.986515467079,10189.595689538557
0,3,11884.614403220545,9464.903253660206
0,4,12012.298762898148,8886.301832165835
0,5,16483.453892044596,9693.997378571861
0,6,10078.326180891057,9425.508670805084
0,7,12638.337101843572,11120.582528707735
0,8,12156.026891528185,10203.015779662286
0,9,15464.136727103418,9936.638553819099
0,10,15705.753108542593,10535.825957859284
0,11,16401.25973219161,9520.342531865464
1,0,16053.43620681751,8743.541027890973
1,1,6343.397160491515,10195.168553407673
1,2,14240.657221562158,7939.229941438663
1,3,10957.6641332578,10775.14548975008
1,4,15102.982831662212,10996.09698051998
1,5,14365.328189324882,8333.01665733338
1,6,15090.689135722967,9019.439640565108
1,7,12362.618611136037,9886.5068071708
1,8,14769.920413526197,10520.849722522358
1,9,10813.210279303827,8476.57011761586
1,10,16495.777119151368,9298.603074690374
1,11,10813.706469306777,8493.230260639335
2,0,12613.322682836779,9055.077974706992
2,1,13793.267133067739,9592.24788649377
2,2,14039.616126599958,8263.18902288625
2,3,11077.741905036912,8738.494063709531
2,4,12051.839936184297,7402.672349491704
2,5,11015.575181677683,11714.569471298804
2,6,14932.845326961356,9948.14905496109
2,7,13678.005802616197,11352.99230813533
2,8,14328.512237785531,9890.568414430913
2,9,8380.359001461758,8922.141442536371
2,10,17267.36471085635,10082.151339668411
2,11,10998.56166917476,9665.653214224165
3,0,16386.64800134537,9559.46872744861
3,1,11883.664326086893,8763.591142081152
3,2,15013.489939344146,12565.843336138958
3,3,13574.301098987758,9658.23578280206
3,4,14473.683111798198,10531.078975010558
3,5,11621.493174087193,8963.542689973583
3,6,15015.386836885264,8497.680019468078
3,7,14751.417687907633,9612.729006971422
3,8,11474.383430004616,9281.063760410825
3,9,11821.932166906185,10434.27921363389
3,10,11532.351436029267,10205.335114035657
3,11,11317.049768630872,9503.90036122949
4,0,14711.451270052503,8911.247321095176
4,1,16744.83245579288,9479.21892459661
4,2,8165.766197154977,8438.58017083215
4,3,13939.366220493943,9058.325702655897
4,4,13203.475831649175,9579.483722348385
4,5,15754.398102580677,9097.296489724231
4,6,14576.291219501314,12026.539548891522
4,7,17167.537307464532,11764.963993222846
4,8,12560.582467431046,8633.161933311672
4,9,15174.018555189336,11067.973768667613
4,10,14204.834790468509,10779.459169469339
4,11,15747.66708693274,9992.977565246038
5,0,14235.632997921166,9311.700736898822
5,1,10833.329619784525,8098.307834982768
5,2,10988.325482642611,9529.55467695541
5,3,17054.593853081016,8651.263349841582
5,4,14119.191744748887,7138.120227649789
5,5,13535.721528125549,10758.674032793257
5,6,14842.648919386378,9894.993667489283
5,7,17486.789772336142,9322.377012628822
5,8,17197.597155827854,8770.176997222365
5,9,12955.677404619857,9938.192912670133
5,10,10075.320404779995,10536.381786657068
5,11,8762.862554209814,9608.356500232894
6,0,12065.941916950193,9596.23481779454
6,1,14681.871581940382,8986.37775494698
6,2,9091.17728475423,7864.497351991572
6,3,10533.29322075812,10505.806204206212
6,4,9967.264770543823,8867.24039041013
6,5,7631.640230982092,11110.432519929876
6,6,11761.853795573212,11115.915987779721
6,7,15976.667633256922,10175.513345688785
6,8,13751.846099629798,11776.715685421244
6,9,14115.214089636012,8941.523876864732
6,10,18014.31332983387,10022.631548987767
6,11,10646.092168221323,9464.85796451481
7,0,14354.207796182736,8440.88514948906
7,1,12521.180681892125,8011.814685104283
7,2,14829.641488559857,9316.118081722178
7,3,15222.919752965823,8042.5903211939385
7,4,17702.124691013734,9088.39677019015
7,5,12435.740596264135,10410.239628500378
7,6,13568.82437808558,8989.376414194852
7,7,13950.665686784256,8688.290179813514
7,8,13606.09356483952,10636.334474537558
7,9,14084.867637152485,9770.462501836466
7,10,12492.125593722209,9074.482766379739
7,11,15493.699822077015,8531.717330464971
8,0,13028.797914575853,9687.890880064833
8,1,7805.326073997792,8322.554004638034
8,2,10248.253255873076,9521.724342394704
8,3,12360.634490079341,9325.112749554246
8,4,14006.520555799687,8813.551493365496
8,5,14687.963625733657,11242.5597575631
8,6,15202.707031059257,8529.10005669342
8,7,13242.79370934348,11564.975113248911
8,8,14241.783524944232,9395.458229015774
8,9,15152.38450577944,8829.274348050578
8,10,16913.336790889098,9263.676676263589
8,11,14008.904519315802,8382.80531800806
9,0,14852.42469257182,9475.589542878024
9,1,15078.007957314016,10970.881921418859
9,2,7424.973015631297,9462.331344061988
9,3,10439.93810906564,9378.377670920028
9,4,10183.398615721582,8892.039161994582
9,5,9267.87646672316,9417.691041892494
9,6,12980.785408487622,9728.712934920612
9,7,13188.00769617,9004.108514958007
9,8,17569.565815694015,10430.144990402616
9,9,13118.079907857706,9079.688120812443
9,10,14873.003907710698,11515.828235671119
9,11,15322.566356980622,7777.342930453425
10,0,16878.792240889277,9777.667728269676
10,1,15379.676258498317,9545.229198510147
10,2,15899.544413066396,8882.322928147078
10,3,14542.744031734608,10498.091921803758
10,4,10515.121129451623,9469.364314863455
