final_cash,total_borrow,total_invest,objective,scenario
5000000.0,4904450.5,279083.2927,-47649.0885365,0
5000000.0,4962979.9,246434.8806,-48397.624597,1
5000000.0,4964253.8,531010.66017,-46987.48469915001,2
5000000.0,4944703.5,436491.2006,-47264.57899700001,3
5000000.0,4948234.7,502798.8407,-46968.3527965,4
5000000.0,4960210.6,208640.46899999998,-48558.903654999995,5
5000000.0,4944172.7,280945.1475,-48037.00126250001,6
5000000.0,5018948.6,413219.661,-48123.387695,7
5000000.0,4980311.3,444439.932,-47580.91333999999,8
5000000.0,4925059.4,342114.412,-47540.02194,9
5000000.0,4933007.1,463984.90760000004,-47010.146462,10
5000000.0,4987834.5,460438.447,-47576.152765,11
5000000.0,4958056.7,263817.3682,-48261.480159000006,12
5000000.0,4957500.2,432547.47500000003,-47412.264625,13
5000000.0,4973189.4,432430.26499999996,-47569.742675,14
5000000.0,4982398.9,538369.853,-47132.139735000004,15
5000000.0,4938243.8,398514.871,-47389.863645000005,16
5000000.0,4966915.8,335784.559,-47990.23520499999,17
5000000.0,4990612.5,421659.562,-47797.82719,18
5000000.0,4952806.1,347244.36199999996,-47791.83919,19
5000000.0,5018597.2,399404.024,-48188.95187999999,20
5000000.0,4946732.9,508974.74101,-46922.45529495001,21
5000000.0,4941614.0,348240.413,-47674.937934999994,22
5000000.0,4981109.0,296606.765,-48328.056175,23
5000000.0,4955834.0,233898.779,-48388.846105000004,24
5000000.0,4952205.9,436694.833,-47338.58483500001,25
5000000.0,4953227.392,371354.545,-47675.501195,26
5000000.0,4974106.0,445493.24700000003,-47513.593765,27
5000000.0,4975155.6,517133.199,-47165.890005,28
5000000.0,5017695.1,392607.3466,-48213.914267,29
5000000.0,4975344.1,558455.5011999999,-46961.163493999986,30
5000000.0,4969264.4,504070.177,-47172.29311500001,31
5000000.0,4922611.9,343921.101,-47506.51349500001,32
5000000.0,4981277.8,309417.082,-48265.692590000006,33
5000000.0,5081443.454,195466.304,-49837.10302000001,34
5000000.0,4934957.1,306081.841,-47819.16179499999,35
5000000.0,4973088.9,568368.165,-46889.048175,36
5000000.0,4900609.4,558496.509,-46213.611455000006,37
5000000.0,4935367.2,447558.42199999996,-47115.879890000004,38
5000000.0,4981156.8,556267.414,-47030.23093,39
5000000.0,4996600.5,466344.14400000003,-47634.28428000001,40
5000000.0,4978130.094,226936.00900000002,-48646.62089500001,41
5000000.0,4943152.9,516342.0708,-46849.81864600001,42
5000000.0,5009065.8,370876.244,-48236.27678,43
5000000.0,4975544.5,512123.365,-47194.828175,44
5000000.0,4989077.8,444151.133,-47670.022334999994,45
5000000.0,5030863.5,463674.119,-47990.264405,46
5000000.0,4909379.4,436881.168,-46909.38816,47
5000000.0,4972192.5,358426.612,-47929.791939999996,48
5000000.0,5064687.906,361116.788,-48841.29512000001,49
5000000.0,4926676.1,516712.80559999996,-46683.196972,50
5000000.0,4980820.5,346553.557,-48075.437215,51
5000000.0,4993860.6,510930.386,-47383.95407000001,52
5000000.0,4969059.8,382880.0977,-47776.197511499995,53
5000000.0,4956324.9,366271.516,-47731.89142,54
5000000.0,5008857.5,456067.453,-47808.237735,55
5000000.0,4940233.6,393079.928,-47436.93635999999,56
5000000.0,4971687.3,317336.465,-48130.190675,57
5000000.0,4965984.0,504095.638,-47139.36181,58
5000000.0,4992194.2,388395.527,-47979.964365,59
5000000.0,5015189.4,245679.652,-48923.495740000006,60
5000000.0,5006293.0,427657.36699999997,-47924.643165,61
5000000.0,5077039.6,558352.083,-47978.635585,62
5000000.0,4986849.6,643545.546,-46650.76827,63
5000000.0,5026853.2,225111.182,-49142.97609000001,64
5000000.0,4992255.1,479463.649,-47525.232755000005,65
5000000.0,4964345.9,574931.593,-46768.801035000004,66
5000000.0,5005211.1,331251.488,-48395.85356,67
5000000.0,4981425.0,444378.5178,-47592.357411,68
5000000.0,4976966.3,408783.319,-47725.746405,69
5000000.0,4911005.7,518046.955,-46519.822225,70
5000000.0,4982589.6,320073.3503,-48225.5292485,71
5000000.0,4970812.2,456107.744,-47427.583280000006,72
5000000.0,4970345.8,282395.2228,-48291.481885999994,73
5000000.0,4977378.3,406000.07200000004,-47743.782640000005,74
5000000.0,4966690.4,446010.067,-47436.853665,75
5000000.0,4977723.1,322695.885,-48163.75157500001,76
5000000.0,4956382.726,377595.279,-47675.850865,77
5000000.0,5001207.5,352468.382,-48249.73309,78
5000000.0,5004752.1,408616.897,-48004.436515,79
5000000.0,4953608.5,402501.6472,-47523.576764,80
5000000.0,4975039.3,305476.5094,-48223.010452999995,81
5000000.0,4931964.8,355738.5719,-47540.9551405,82
5000000.0,4970449.035999999,272053.928,-48344.22072,83
5000000.0,4988867.8,335616.502,-48210.59549,84
5000000.0,4964308.6,484253.545,-47221.818275,85
5000000.0,4996897.5,315559.88420000003,-48391.17557899999,86
5000000.0,4956259.1,245374.2238,-48335.71988100001,87
5000000.0,4905528.6,481376.654,-46648.402729999994,88
5000000.0,4993405.7,274013.121,-48563.991395000005,89
5000000.0,4959449.5,580094.755,-46694.021225,90
5000000.0,4983137.515,167480.836,-48993.97097000001,91
5000000.0,4992200.3,364522.771,-48099.389145,92
5000000.0,5045118.2,309511.3505,-48903.6252475,93
5000000.0,4961930.6,278632.747,-48226.142264999995,94
5000000.0,4984181.0,449295.13399999996,-47595.33433,95
5000000.0,5005535.1,469415.641,-47708.272795,96
5000000.0,5010507.1,335217.658,-48428.98271,97
5000000.0,5008625.294,441645.012,-47878.027879999994,98
5000000.0,5009709.4,431108.98,-47941.549100000004,99
5000000.0,4971285.7591,321721.08937,-48104.25214415001,100
5000000.0,4966377.6,487817.37399999995,-47224.68912999999,101
5000000.0,5024382.2,523895.976,-47624.342119999994,102
5000000.0,4943446.0,243240.777,-48218.256115000004,103
5000000.0,4942920.3,508051.0798,-46888.94760100001,104
5000000.0,5015962.7,230307.1469,-49008.09126550001,105
5000000.0,4969347.0,595255.836,-46717.190819999996,106
5000000.0,4933477.9,402880.018,-47320.37891,107
5000000.0,4994348.0,307141.474,-48407.77263000001,108
5000000.0,4999541.7,505608.08200000005,-47467.37658999999,109
5000000.0,4982840.5,276933.618,-48443.73691,110
5000000.0,4982763.6,387575.743,-47889.75728500001,111
5000000.0,4971234.9,361619.46,-47904.2517,112
5000000.0,5000452.6,359266.206,-48208.19497,113
5000000.0,4899323.6,414176.924,-46922.35138,114
5000000.0,4932105.8,367330.47,-47484.40564999999,115
5000000.0,4938983.0,486835.472,-46955.65264,116
5000000.0,4954340.6,422535.7649,-47430.7271755,117
5000000.0,4985161.4,350627.822,-48098.47489,118
5000000.0,4980166.6,404809.976,-47777.616120000006,119
5000000.0,4957193.6,311000.474,-48016.93362999999,120
5000000.0,5001595.2,495374.548,-47539.079260000006,121
5000000.0,4975091.3,522092.06299999997,-47140.452685,122
5000000.0,4994127.5,327963.30696,-48301.4584652,123
5000000.0,4925488.0,481641.6127,-46846.67193650001,124
5000000.0,4981721.2,319018.9387,-48222.1173065,125
5000000.0,5005561.1,283329.059,-48638.965704999995,126
5000000.0,4957611.5,481152.059,-47170.354705,127
5000000.0,4953283.4,456812.42799999996,-47248.77186,128
5000000.0,4977160.3,360333.342,-47969.93629,129
5000000.0,4970333.9,385512.703,-47775.775485000006,130
5000000.0,4978531.1,490983.64400000003,-47330.392779999995,131
5000000.0,4974441.2,445580.064,-47516.51168000001,132
5000000.0,4980579.5,490876.803,-47351.410984999995,133
5000000.0,5008583.2,320752.005,-48482.071975,134
5000000.0,4909578.5,290503.706,-47643.26647000001,135
5000000.0,4984155.7,421004.011,-47736.53694500001,136
5000000.0,4979676.7,355733.6397,-48018.098801500004,137
5000000.0,5005985.6,369967.26800000004,-48210.01966,138
5000000.0,4991920.71805,107184.338,-49383.285490500006,139
5000000.0,4993098.0,482036.099,-47520.799505,140
5000000.0,5024174.7,503094.959,-47726.27220500001,141
5000000.0,4960086.1,584637.3539999999,-46677.67423,142
5000000.0,4962914.7,484242.20999999996,-47207.93595000001,143
5000000.0,4956539.1,277889.812,-48175.94194,144
5000000.0,5049951.8,482151.694,-48088.75952999999,145
5000000.0,4942011.1,350681.66599999997,-47666.70267,146
5000000.0,4983476.7,536323.566,-47153.149170000004,147
5000000.0,4973271.3,331747.013,-48073.977934999995,148
5000000.0,4972627.8686,159533.72400000002,-48928.610066,149
5000000.0,5019348.6,356908.911,-48408.941445000004,150
